concept abstraction
magnitude depth
disease dermatitis
relative descendent
feeling desire
furniture desk
policeman detective
disease diabetes
book dictionary
boat dinghy
meal dinner
vertebrate dinosaur
oxide dioxide
hydrocarbon dioxin
worker diplomat
organization directorate
feeling disappointment
music disco
communication discussion
container dish
container dispenser
emotion displeasure
movie documentary
information documentation
carnivore dog
mammal dog
doctrine dogma
animal dolphin
housing dorm
building dormitory
animal dove
document draft
animal dragonfly
insect dragonfly
writer dramatist
phenomenon drift
consumer drinker
rain drizzle
insect drone
entertainer drummer
performer drummer
commodity dryer
bird duck
bin dustbin
housing dwelling
lesbian dyke
explosive dynamite
animal eagle
bird eagle
vertebrate eagle
decoration earring
building eatery
consumption eating
scientist ecologist
discipline economics
scientist economist
emotion ecstasy
feeling ecstasy
boundary edge
worker editor
prose editorial
professional educator
solid eel
worker electrician
solution electrolyte
discipline electronics
science electronics
animal elephant
integer eleven
people elite
tree elm
migrant emigrant
migration emigration
worker employee
ruler empress
book encyclopedia
strength endurance
occupation engineering
information enumeration
list enumeration
reformer environmentalist
feeling envy
molecule enzyme
biochemistry enzymology
science enzymology
poem epic
letter epistle
art etching
feeling excitement
explanation excuse
research experiment
surface facade
narrative fairytale
idea fallacy
statement falsehood
building farmhouse
house farmhouse
progenitor father
animal feeder
transgression felony
barrier fence
obstruction fencing
barrier fender
carnivore ferret
boat ferry
vehicle ferry
athlete fielder
meat fillet
female filly
contest final
tip fingertip
weapon firearm
business firm
organization firm
animal fish
worker fisherman
sport fishing
invertebrate flea
parasite flea
surface floor
food flour
disease flu
phenomenon fluorescence
invertebrate fly
worker fodder
vertebrate foetus
trait folly
game football
sport football
bridge footbridge
limb forearm
superior foreman
ware fork
plant foundry
integer fourteen
animal fox
mammal fox
vertebrate fox
sensation fragrance
software freeware
road freeway
art fresco
painting fresco
vehicle frigate
emotion fright
feeling frustration
athlete fullback
ceremony funeral
phenomenon gale
disease gall
vehicle galley
phenomenon gas
fuel gasoline
hydrocarbon gasoline
invertebrate gastropod
barrier gate
entrance gateway
instrument gauge
performer geek
crystal gemstone
apparatus generator
adult gent
people gentry
discipline geology
discipline geometry
science geometry
beverage gin
herb ginger
woman girlfriend
combatant gladiator
organ gland
disease glaucoma
aircraft glider
vehicle glider
athlete goalkeeper
player goalkeeper
mammal goat
vertebrate goldfish
sport golf
player golfer
vertebrate goose
waterfowl goose
valley gorge
mammal gorilla
politician governor
clothing gown
tissue graft
offspring grandchild
relative grandchild
offspring granddaughter
grandparent grandfather
grandparent grandmother
relative grandmother
relative granny
site graveyard
color green
animal greyhound
dog greyhound
hound greyhound
vegetation grove
housing guesthouse
boat gunboat
vehicle gunboat
serviceman gunner
facility gym
school gymnasium
passageway hall
passageway hallway
community hamlet
rodent hamster
gun handgun
instrument handgun
weapon handgun
equipment handset
consistency hardness
animal hare
mammal hare
animal hawk
bird hawk
text headline
energy heat
rodent hedgehog
vertebrate hedgehog
dimension height
magnitude height
vehicle helicopter
bird hen
criminal henchman
illness hepatitis
trait heroism
disease herpes
seafood herring
difference heterogeneity
road highway
chart histogram
sport hockey
tree holly
food honey
animal horse
mammal horse
vertebrate horse
rider horseman
commodity hose
building hospital
hotel hostel
host hostess
building house
servant housekeeper
woman housewife
vertebrate human
doctrine humanism
scholar humanist
vertebrate humankind
storm hurricane
relative husband
song hymn
therapy hypnotherapy
treatment hypnotherapy
disorder hysteria
crystal ice
signal icon
artwork illustration
migration immigration
discipline immunology
science immunology
commerce importation
security indemnity
relative infant
illness influenza
solution infusion
ceremony initiation
fluid ink
liquid ink
building inn
animal insect
pesticide insecticide
disorder insomnia
captivity internment
ability interoperability
organ intestine
system intranet
animal invertebrate
transaction investing
transaction investment
text invitation
system ipod
inhabitant islander
digit iv
digit ix
garment jacket
food jam
feeling jealousy
garment jean
food jelly
vehicle jet
maker jeweller
decoration jewelry
machine jigsaw
tool jigsaw
entertainer joker
performer joker
discipline jurisprudence
animal kangaroo
mammal kangaroo
entertainment karaoke
animal kestrel
falcon kestrel
hawk kestrel
vertebrate kestrel
container kettle
utensil kettle
performer keyboardist
kick kickoff
crime kidnapping
clothing kilt
commodity kilt
institution kindergarten
organization kindergarten
bird kingfisher
vertebrate kingfisher
relative kinsman
joint knee
tool knife
joint knuckle
workplace laboratory
worker laborer
chemical lactose
molecule lactose
adult lady
animal lamb
computer laptop
machine laptop
opening leak
adult lecturer
limb leg
fruit lemon
disease leprosy
illness leprosy
cancer leukaemia
disease leukaemia
tumor leukaemia
tumor leukemia
adult librarian
document license
car limousine
vehicle limousine
clothing lingerie
garment lingerie
underwear lingerie
scientist linguist
science linguistics
animal lion
vertebrate lion
molecule lipid
alcohol liqueur
beverage liqueur
fluid liqueur
beverage liquor
fluid liquor
liquid liquor
reptile lizard
seafood lobster
vehicle locomotive
discipline logic
signal logo
symbol logo
feeling longing
room loo
insect louse
feeling love
meal lunch
meal luncheon
disease lupus
tumor lymphoma
seafood mackerel
medium magazine
animal maggot
larva maggot
official magistrate
animal magpie
bird magpie
servant maid
message mail
container mailbox
herb maize
infection malaria
adult man
tree mango
tree mangrove
mammal mankind
housing manor
book manual
publication manual
wood maple
animal mare
horse mare
vertebrate mare
food margarine
worker mariner
tent marquee
treatment massage
ancestor mater
science math
illness measles
drug medication
discipline medicine
cancer melanoma
carcinoma melanoma
tumor melanoma
fruit melon
solid melon
note memo
record memo
note memorandum
illness meningitis
cancer mesothelioma
disease mesothelioma
illness mesothelioma
tumor mesothelioma
railway metro
biology microbiology
professional midwife
ache migraine
traveler migrant
organization military
organization militia
beverage milk
fluid milk
food milk
liquid milk
performer mime
workman miner
phenomenon mishap
instrument missile
weapon missile
woman mistress
crowd mob
word modifier
animal mollusc
parent mom
ruler monarch
building monastery
dwelling monastery
house monastery
housing monastery
molecule monoclonal
protein monoclonal
wind monsoon
pause moratorium
weaponry mortar
building mosque
building motel
insect moth
ancestor mother
progenitor mother
relative mother
vehicle motorbike
vehicle motorcycle
driver motorist
highway motorway
road motorway
saying motto
tissue mucosa
animal mule
mammal mule
doctrine multiculturalism
ancestor mummy
criminal murderer
deity muse
gun musket
adult nanny
discipline nanotechnology
organization navy
statement negation
invertebrate nematode
tissue nerve
game netball
science neurology
discipline neuroscience
science neuroscience
name nickname
organ nipple
feeling nostalgia
official notary
word noun
adult nurse
work nursing
cereal oat
trait objectivity
building observatory
sensation odour
travel odyssey
serviceman officer
lipid oil
drug ointment
fruit olive
discipline oncology
science oncology
narcotic opium
feeling optimism
solid orange
speaker orator
flower orchid
mineral ore
performer organist
arthritis osteoarthritis
illness osteoarthritis
post outpost
cost overhead
payment overpayment
bird owl
vertebrate owl
animal ox
animal oyster
collection package
stick paddle
set pair
dwelling palace
organ pancreas
animal panda
mammal panda
vertebrate panda
fear panic
equipment parachute
concept parameter
wall parapet
relative parent
symbol parenthesis
caricature parody
vertebrate parrot
software parser
feeling passion
doctor pathologist
science pathology
trait patience
computer pc
machine pc
fruit pear
produce pear
jewel pearl
jewelry pearl
animal penguin
bird penguin
seabird penguin
antibiotic penicillin
organ penis
signal pennant
symbol pennant
housing penthouse
chemical peptide
performer percussionist
trait perseverance
animal pet
leaf petal
chemical petroleum
oil petroleum
bench pew
science pharmacology
discipline pharmacy
animal pheasant
vertebrate pheasant
science phonology
adult physician
professional physician
biology physiology
science physiology
therapist physiotherapist
therapy physiotherapy
treatment physiotherapy
entertainer pianist
vehicle pickup
swine pig
vertebrate pigeon
journey pilgrimage
worker pilot
tree pine
conduit pipe
entertainer piper
musician piper
performer piper
crime piracy
criminal pirate
food pizza
surface platform
ware platter
show playing
information playlist
list playlist
tree plum
container pocket
writer poet
phenomenon polarization
spore pollen
resin polyethylene
chemical polymer
chemical polymerase
enzyme polymerase
boat pontoon
horse pony
mammal pony
leader pope
employee porter
worker porter
workman porter
mail postcard
student postgraduate
worker postman
food potato
vegetable potato
container pouch
vehicle pram
section preamble
belief preconception
district prefecture
clergyman prelate
representative premier
word preposition
leader president
standing primacy
priest primate
aristocrat princess
idea principle
house priory
mariner privateer
sailor privateer
document probate
occupation professorship
ancestor progenitor
word pronoun
information propaganda
official prosecutor
molecule protein
name pseudonym
disease psoriasis
illness psoriasis
science psychiatry
therapy psychoanalysis
treatment psychoanalysis
work psychoanalysis
science psychology
discipline psychotherapy
science psychotherapy
firm publisher
food pudding
mammal puppy
vertebrate puppy
animal python
reptile python
vertebrate python
player quarterback
solid quartz
document questionnaire
vertebrate rabbit
contest race
mammal racehorse
sport racing
instrument radar
phenomenon radiation
care radiotherapy
treatment radiotherapy
magnitude radius
emotion rage
phenomenon rain
vegetation rainforest
water rainwater
produce raisin
magnitude range
mammal rat
vertebrate raven
equipment receiver
worker receptionist
improvement recovery
polygon rectangle
leader rector
color red
equipment reel
election reelection
food refreshment
member regent
music reggae
record registry
compensation reimbursement
payment reimbursement
animal reindeer
trait reliability
feeling relief
feeling remorse
animal reptile
vertebrate reptile
emotion resentment
serviceman reservist
inhabitant resident
feeling resignation
tissue retina
appraisal review
pistol revolver
vertebrate rhino
traveler rider
weapon rifle
equipment rig
road roadway
meat roast
crime robbery
animal robin
vertebrate robin
animal rodent
mammal rodent
vertebrate rodent
equipment roofing
list roster
payment royalty
bag rucksack
herb rue
game rugby
drug rum
fluid rum
liquid rum
signal rune
bag sack
feeling sadness
travel safari
employee salesman
worker salesman
animal salmon
fish salmon
food sandwich
room sauna
solid sausage
machine sawmill
performer saxophonist
victim scapegoat
garment scarf
educator schoolmaster
tool scissors
instrument scourge
surface screen
writer screenwriter
tool screwdriver
bird seabird
vertebrate seabird
sailor seaman
airplane seaplane
vehicle seaplane
water seawater
alga seaweed
information secret
organization secretariat
car sedan
vehicle sedan
gathering seminar
institution seminary
animal serpent
reptile serpent
vertebrate serpent
conduit sewer
investor shareholder
fish shark
cleaning shaving
seafood shellfish
solid shellfish
beverage sherry
liquid sherry
wine sherry
clothing shirt
merchant shopkeeper
road shortcut
tool shovel
fixture shower
building shrine
tower silo
man sir
relative sis
integer sixty
magnitude size
sport skating
athlete skier
covering skin
tissue skin
tissue skull
contest slalom
saying slogan
vehicle sloop
illness smallpox
criminal smuggler
animal snail
animal snake
piece snippet
game snooker
game soccer
scientist sociologist
science sociology
serviceman soldier
musician soloist
performer soloist
offspring son
relative son
music song
entertainer soprano
performer soprano
singer soprano
equipment spacecraft
vehicle spaceship
food spaghetti
pasta spaghetti
symptom spasm
instrument spear
weapon spear
instrument spectrometer
herb spinach
curve spiral
spokesperson spokesman
advocate spokeswoman
spokesperson spokeswoman
container spoon
relative spouse
athlete sprinter
solid squid
animal stag
mammal stag
vehicle stagecoach
animal stallion
horse stallion
commodity staple
leader statesman
ancestor stepfather
ancestor stepmother
equipment stereo
payment stipend
commodity stocking
communicator storyteller
berry strawberry
walk strut
workplace studio
organization subcommittee
contractor subcontractor
ship submarine
calculation subtraction
district suburb
commodity suit
container suitcase
chemical sulphate
instrument sundial
light sunlight
phenomenon sunshine
computer supercomputer
machine supercomputer
meal supper
cost surcharge
professional surgeon
feeling surprise
bird swan
transaction swap
commodity sweater
sensation sweetness
athlete swimmer
sport swimming
music symphony
sonata symphony
meeting symposium
instrument syringe
vehicle tank
ship tanker
vehicle tanker
chemical tar
sensation taste
building tavern
hierarchy taxonomy
beverage tea
professional teacher
occupation teaching
worker technician
apparatus telegraph
telecommunication telephony
instrument telescope
receiver telly
trait temperament
integer ten
payer tenant
animal tench
fish tench
word term
facility terminal
vertebrate tern
carnivore terrier
dog terrier
emotion terror
feeling terror
book textbook
building theater
building theatre
felony theft
discipline theology
care therapy
regulator thermostat
publication thesaurus
criminal thief
integer thirty
road thoroughfare
emotion thrill
chair throne
furniture throne
storm thunderstorm
document ticket
clothing tie
end tip
text title
animal toad
bread toast
food toast
child toddler
extremity toe
day tomorrow
organ tongue
animal tortoise
reptile tortoise
travel tour
phenomenon traction
criminal traitor
procedure transplantation
vehicle trolley
garment trouser
entertainer trumpeter
performer trumpeter
wave tsunami
disease tuberculosis
tissue tummy
illness tumor
illness tumour
engine turbine
animal turkey
bird turkey
gate turnpike
crystal turquoise
tower turret
teacher tutor
integer twelve
integer twenty
businessman tycoon
phenomenon typhoon
storm typhoon
occupation typography
ruler tyrant
request ultimatum
boundary underside
clothing underwear
conflict uprising
organ uterus
idea value
mischief vandalism
eater vegan
garment veil
rate velocity
fabric velvet
animal vertebrate
point vertex
digit vi
container vial
clergyman vicar
leader vicar
priest vicar
building vicarage
dwelling vicarage
area vicinity
practice victimisation
beverage vintage
liquid vintage
entertainer violinist
microorganism virus
representation visualisation
performer vocalist
alcohol vodka
sound voice
animal vole
rodent vole
vertebrate vole
game volleyball
sport volleyball
vertebrate vulture
bird wader
vertebrate wader
payment wage
employee waiter
employee waitress
waiter waitress
worker waitress
nut walnut
seed walnut
entertainer warbler
performer warbler
singer warbler
document warrant
vehicle warship
worker washer
animal waterfowl
transformation weakening
instrument weapon
camera webcam
cereal wheat
drug whiskey
fluid whiskey
liquid whiskey
liquor whiskey
beverage whisky
fluid whisky
spouse wife
fruit windfall
alcohol wine
fluid wine
athlete winger
contestant winner
carnivore wolf
vertebrate wolf
adult woman
animal woodpecker
bird woodpecker
publication workbook
invertebrate worm
emotion wrath
communicator writer
feeling yearning
color yellow
day yesterday
food yoghurt
feeling zeal
animal zebra
